ID,BID,ASK,DATE
EURUSD,1.33749,1.33757,20140814203929,
GBPUSD,1.66788,1.66813,20140814203929,
AUDUSD,0.93139,0.93157,20140814203929,
NZDUSD,0.84933,0.84963,20140814203929,
HKDJPY,13.201,13.231,20140814203929,
EURAUD,1.43577,1.436,20140814203929,
EURGBP,0.80178,0.80196,20140814203929,
USDCHF,0.90623,0.90641,20140814203929,
EURCHF,1.2121,1.21228,20140814203929,
GBPCHF,1.51156,1.51186,20140814203929,
AUDCHF,0.8441,0.8444,20140814203929,
CADCHF,0.83151,0.83211,20140814203929,
USDHKD,7.75099,7.75129,20140814203929,
USDJPY,102.434,102.438,20140814203944,
EURJPY,137.007,137.017,20140814203944,
AUDJPY,95.416,95.425,20140814203944,
GBPJPY,170.858,170.876,20140814203944,
NZDJPY,87.025,87.043,20140814203944,
CADJPY,93.994,94.018,20140814203944,
CHFJPY,113.017,113.041,20140814203944,
ZARJPY,9.679,9.698,20140814203944,
CNHJPY,16.637,16.667,20140814203944,
EURUSD,1.33752,1.3376,20140814203944,
GBPUSD,1.66785,1.6681,20140814203944,
AUDUSD,0.93139,0.93157,20140814203944,
NZDUSD,0.84932,0.84962,20140814203944,
HKDJPY,13.201,13.231,20140814203944,
EURGBP,0.80178,0.80196,20140814203944,
EURAUD,1.43578,1.43601,20140814203944,
USDCHF,0.90622,0.9064,20140814203944,
EURCHF,1.2121,1.21228,20140814203944,
GBPCHF,1.51152,1.51182,20140814203944,
AUDCHF,0.8441,0.8444,20140814203944,
CADCHF,0.83138,0.83198,20140814203944,
USDHKD,7.75099,7.75129,20140814203944,
USDJPY,102.429,102.433,20140814204000,
EURJPY,137.007,137.017,20140814204000,
AUDJPY,95.412,95.421,20140814204000,
GBPJPY,170.847,170.865,20140814204000,
NZDJPY,87.019,87.037,20140814204000,
CADJPY,93.992,94.016,20140814204000,
CHFJPY,113.017,113.041,20140814204000,
ZARJPY,9.679,9.698,20140814204000,
CNHJPY,16.636,16.666,20140814204000,
EURUSD,1.3376,1.33768,20140814204000,
GBPUSD,1.66789,1.66814,20140814204000,
AUDUSD,0.9314,0.93158,20140814204000,
NZDUSD,0.84932,0.84962,20140814204000,
HKDJPY,13.2,13.23,20140814204000,
EURGBP,0.80183,0.80201,20140814204000,
EURAUD,1.43586,1.43609,20140814204000,
USDCHF,0.90616,0.90634,20140814204000,
