HKDJPY,13.311,13.341,20140821000540,
EURGBP,0.79826,0.79844,20140821000540,
EURAUD,1.42651,1.42674,20140821000540,
USDCHF,0.91105,0.91123,20140821000540,
EURCHF,1.2107,1.21088,20140821000540,
GBPCHF,1.51646,1.51676,20140821000540,
AUDCHF,0.84859,0.84889,20140821000540,
CADCHF,0.83221,0.83281,20140821000540,
USDHKD,7.75052,7.75082,20140821000540,
USDJPY,103.29,103.294,20140821000645,
EURJPY,137.26,137.27,20140821000645,
AUDJPY,96.192,96.201,20140821000645,
GBPJPY,171.902,171.92,20140821000645,
NZDJPY,86.862,86.88,20140821000645,
CADJPY,94.368,94.392,20140821000645,
CHFJPY,113.35,113.374,20140821000645,
ZARJPY,9.655,9.674,20140821000645,
CNHJPY,16.795,16.825,20140821000645,
EURUSD,1.32881,1.32889,20140821000645,
GBPUSD,1.66419,1.66444,20140821000645,
AUDUSD,0.93135,0.93153,20140821000645,
NZDUSD,0.84087,0.84117,20140821000645,
HKDJPY,13.312,13.342,20140821000645,
EURGBP,0.79834,0.79852,20140821000645,
EURAUD,1.42665,1.42688,20140821000645,
USDCHF,0.9111,0.91128,20140821000645,
EURCHF,1.21074,1.21092,20140821000645,
GBPCHF,1.51638,1.51668,20140821000645,
AUDCHF,0.84853,0.84883,20140821000645,
CADCHF,0.83225,0.83285,20140821000645,
USDHKD,7.75052,7.75082,20140821000645,
USDJPY,103.302,103.306,20140821000751,
EURJPY,137.272,137.282,20140821000751,
AUDJPY,96.199,96.208,20140821000751,
GBPJPY,171.906,171.924,20140821000751,
NZDJPY,86.871,86.889,20140821000751,
CADJPY,94.386,94.41,20140821000751,
CHFJPY,113.361,113.385,20140821000751,
ZARJPY,9.658,9.677,20140821000751,
CNHJPY,16.797,16.827,20140821000751,
GBPUSD,1.66397,1.66422,20140821000751,
EURUSD,1.32874,1.32882,20140821000751,
AUDUSD,0.93127,0.93145,20140821000751,
HKDJPY,13.314,13.344,20140821000751,
EURGBP,0.7984,0.79858,20140821000751,
NZDUSD,0.84084,0.84114,20140821000751,
EURAUD,1.42667,1.4269,20140821000751,
USDCHF,0.91111,0.91129,20140821000751,
EURCHF,1.2107,1.21088,20140821000751,
GBPCHF,1.51618,1.51648,20140821000751,
AUDCHF,0.8485,0.8488,20140821000751,
CADCHF,0.83231,0.83291,20140821000751,
USDHKD,7.75042,7.75072,20140821000751,
USDJPY,103.307,103.311,20140821000856,
EURJPY,137.275,137.285,20140821000856,
AUDJPY,96.207,96.216,20140821000856,
GBPJPY,171.925,171.943,20140821000856,
NZDJPY,86.877,86.895,20140821000856,
CADJPY,94.394,94.418,20140821000856,
CHFJPY,113.364,113.388,20140821000856,
CNHJPY,16.797,16.827,20140821000856,
ZARJPY,9.652,9.671,20140821000856,
EURUSD,1.32878,1.32886,20140821000856,
GBPUSD,1.66413,1.66438,20140821000856,
AUDUSD,0.93132,0.9315,20140821000856,
NZDUSD,0.84087,0.84117,20140821000856,
HKDJPY,13.314,13.344,20140821000856,
EURGBP,0.79835,0.79853,20140821000856,
EURAUD,1.42663,1.42686,20140821000856,
USDCHF,0.91111,0.91129,20140821000856,
EURCHF,1.21072,1.2109,20140821000856,
GBPCHF,1.51635,1.51665,20140821000856,
AUDCHF,0.84848,0.84878,20140821000856,
CADCHF,0.83236,0.83296,20140821000856,
USDHKD,7.75042,7.75072,20140821000856,
USDJPY,103.309,103.313,20140821001002,
EURJPY,137.275,137.285,20140821001002,
AUDJPY,96.2,96.209,20140821001002,
GBPJPY,171.918,171.936,20140821001002,
NZDJPY,86.853,86.871,20140821001002,
CADJPY,94.394,94.418,20140821001002,
CHFJPY,113.362,113.386,20140821001002,
ZARJPY,9.647,9.666,20140821001002,
CNHJPY,16.797,16.827,20140821001002,
EURUSD,1.32864,1.32872,20140821001002,
GBPUSD,1.66406,1.66431,20140821001002,
AUDUSD,0.93126,0.93144,20140821001002,
NZDUSD,0.84083,0.84113,20140821001002,
HKDJPY,13.314,13.344,20140821001002,
EURGBP,0.79834,0.79852,20140821001002,
EURAUD,1.42665,1.42688,20140821001002,
USDCHF,0.91115,0.91133,20140821001002,
